Time,RPM,MPH,Throttle,Load,Gear
15:16:56.204134,765,0.0,10.5882352941,29.8039215686,0
15:16:56.331758,775,0.0,10.5882352941,29.8039215686,0
15:16:56.451919,780,0.0,10.5882352941,29.8039215686,0
15:16:56.575807,776,0.0,10.5882352941,29.8039215686,0
15:16:56.692113,768,0.0,10.5882352941,30.1960784314,0
15:16:56.811959,769,0.0,10.5882352941,30.1960784314,0
15:16:56.932046,765,0.0,10.5882352941,30.1960784314,0
15:16:57.51898,769,0.0,10.5882352941,30.1960784314,0
15:16:57.175468,784,0.0,10.5882352941,29.8039215686,0
15:16:57.291888,787,0.0,10.5882352941,29.8039215686,0
15:16:57.411972,786,0.0,10.5882352941,29.8039215686,0
15:16:57.531788,778,0.0,10.5882352941,29.8039215686,0
15:16:57.651940,784,0.0,10.5882352941,29.8039215686,0
15:16:57.775773,785,0.0,10.5882352941,29.4117647059,0
15:16:57.891850,782,0.0,10.5882352941,29.4117647059,0
15:16:58.11885,772,0.0,10.5882352941,29.4117647059,0
15:16:58.131790,782,0.0,10.5882352941,29.4117647059,0
15:16:58.251921,769,0.0,10.5882352941,29.8039215686,0
15:16:58.375510,772,0.0,10.5882352941,29.8039215686,0
15:16:58.492190,779,0.0,10.5882352941,29.8039215686,0
15:16:58.611956,770,0.0,10.5882352941,29.8039215686,0
15:16:58.731853,778,0.0,10.1960784314,29.8039215686,0
15:16:58.851958,769,0.0,10.5882352941,29.8039215686,0
15:16:58.975506,770,0.0,10.5882352941,29.8039215686,0
15:16:59.91899,774,0.0,10.5882352941,29.8039215686,0
15:16:59.211960,777,0.0,10.5882352941,29.8039215686,0
15:16:59.331838,766,0.0,10.5882352941,30.1960784314,0
15:16:59.451507,767,0.0,10.1960784314,30.1960784314,0
15:16:59.575146,775,0.0,10.1960784314,29.8039215686,0
15:16:59.691888,757,0.0,10.1960784314,30.1960784314,0
15:16:59.811732,764,0.0,10.1960784314,30.1960784314,0
15:16:59.932190,770,0.0,10.1960784314,30.1960784314,0
15:17:0.52002,769,0.0,10.1960784314,30.1960784314,0
15:17:0.173055,774,0.0,10.5882352941,29.8039215686,0
15:17:0.291869,780,0.0,10.5882352941,29.8039215686,0
15:17:0.411795,770,0.0,10.5882352941,29.8039215686,0
15:17:0.531716,781,0.0,10.5882352941,29.8039215686,0
15:17:0.651591,775,0.0,10.5882352941,29.8039215686,0
15:17:0.775573,777,0.0,10.5882352941,29.8039215686,0
15:17:0.891557,781,0.0,10.5882352941,29.8039215686,0
15:17:1.12202,777,0.0,10.5882352941,29.8039215686,0
15:17:1.132065,766,0.0,10.5882352941,30.1960784314,0
15:17:1.251529,772,0.0,10.5882352941,30.1960784314,0
15:17:1.375073,776,0.0,10.5882352941,30.1960784314,0
15:17:1.491789,777,0.0,10.5882352941,30.1960784314,0
15:17:1.611829,772,0.0,10.5882352941,30.1960784314,0
15:17:1.731969,773,0.0,10.5882352941,30.1960784314,0
15:17:1.851760,771,0.0,10.5882352941,30.1960784314,0
15:17:1.971947,777,0.0,10.5882352941,30.1960784314,0
