Time,RPM,MPH,Throttle,Load,Gear
17:21:48.589812,785,0.0,10.9803921569,34.1176470588,0
17:21:48.717606,782,0.0,10.9803921569,34.1176470588,0
17:21:48.837996,766,0.0,10.9803921569,34.1176470588,0
17:21:48.957706,778,0.0,10.9803921569,34.1176470588,0
17:21:49.77867,777,0.0,10.9803921569,34.1176470588,0
17:21:49.197712,774,0.0,10.9803921569,34.1176470588,0
17:21:49.317811,776,0.0,10.9803921569,34.1176470588,0
17:21:49.437587,770,0.0,10.9803921569,34.1176470588,0
17:21:49.557734,776,0.0,10.9803921569,34.1176470588,0
17:21:49.677599,781,0.0,10.9803921569,34.1176470588,0
17:21:49.797685,784,0.0,10.9803921569,34.1176470588,0
17:21:49.917499,788,0.0,10.9803921569,33.7254901961,0
17:21:50.37689,785,0.0,10.9803921569,33.7254901961,0
17:21:50.158120,776,0.0,10.9803921569,33.7254901961,0
17:21:50.277953,785,0.0,10.9803921569,33.7254901961,0
17:21:50.397686,794,0.0,10.9803921569,33.7254901961,0
17:21:50.517480,769,0.0,10.9803921569,33.7254901961,0
17:21:50.637597,771,0.0,10.9803921569,33.7254901961,0
17:21:50.757818,778,0.0,10.9803921569,33.7254901961,0
17:21:50.878003,785,0.0,10.9803921569,33.7254901961,0
17:21:50.997760,776,0.0,10.9803921569,33.7254901961,0
17:21:51.117943,772,0.0,10.9803921569,33.7254901961,0
17:21:51.237712,773,0.0,10.9803921569,33.7254901961,0
17:21:51.357828,774,0.0,10.9803921569,33.7254901961,0
17:21:51.478003,779,0.0,10.9803921569,33.7254901961,0
17:21:51.597762,786,0.0,10.9803921569,33.7254901961,0
17:21:51.717633,781,0.0,10.9803921569,33.7254901961,0
17:21:51.837731,781,0.0,10.9803921569,33.3333333333,0
17:21:51.957914,781,0.0,10.9803921569,33.7254901961,0
17:21:52.77670,780,0.0,10.9803921569,33.3333333333,0
17:21:52.197820,781,0.0,10.9803921569,33.3333333333,0
17:21:52.317650,783,0.0,10.9803921569,33.3333333333,0
17:21:52.437652,778,0.0,10.9803921569,33.3333333333,0
17:21:52.557584,780,0.0,10.9803921569,33.3333333333,0
17:21:52.677697,777,0.0,10.9803921569,33.3333333333,0
17:21:52.797840,774,0.0,10.9803921569,33.3333333333,0
17:21:52.917687,777,0.0,10.9803921569,33.3333333333,0
17:21:53.38140,779,0.0,10.9803921569,33.7254901961,0
17:21:53.157996,776,0.0,10.9803921569,33.3333333333,0
17:21:53.277732,768,0.0,10.9803921569,33.7254901961,0
17:21:53.397931,767,0.0,10.9803921569,33.7254901961,0
17:21:53.517667,775,0.0,10.9803921569,33.7254901961,0
17:21:53.637779,762,0.0,10.9803921569,33.7254901961,0
